Key	Type	Desc	Português [c0]
AchievementsLockedDescription/PlantCherryTree	Text		Plante 10 cerejeiras
AchievementsLockedDescription/SitOnCavelingToiletWithACrown	Text		Sente-se em um banheiro Cavernoso enquanto usa uma coroa
AchievementsLockedDescription/TalkToBigLarva	Text		Fale com uma Larva Grande
AchievementsUnlockedDescription/CatchStarlightNautilus	Text		Pegou um Starlight Nautilus
AchievementsUnlockedDescription/DefeatAzeos	Text		Derrotou Azeos, o Titã do Céu
AchievementsUnlockedDescription/DefeatGhorm	Text		Derrotou Ghorm, o Devorador
AchievementsUnlockedDescription/DefeatGlurch	Text		Derrotou Glurch, a Massa Abominável
AchievementsUnlockedDescription/DefeatHivemother	Text		Derrotou a Mãe da Colmeia
AchievementsUnlockedDescription/DefeatIgneous	Text		Derrotou Ígneo, a Massa Fundida
AchievementsUnlockedDescription/DefeatIvy	Text		Derrotou Ivy, a Massa Venenosa
AchievementsUnlockedDescription/DefeatKingSlime	Text		Rei Slime derrotado
AchievementsUnlockedDescription/DefeatMalugaz	Text		Derrotou Malugaz, o Corrompido
AchievementsUnlockedDescription/DefeatMorpha	Text		Derrotou Morpha, a Massa Aquática
AchievementsUnlockedDescription/DefeatOmoroth	Text		Derrotou Omoroth, o Titã do Mar
AchievementsUnlockedDescription/DefeatRaAkar	Text		Derrotou Ra-Akar, o Titã da Areia
AchievementsUnlockedDescription/Discover100CookBookRecipes	Text		Descobriu 100 receitas no livro de receitas
AchievementsUnlockedDescription/EquipRingOfRockAndStone	Text		Equipado com o Ring of Rock e o Ring of Stone
AchievementsUnlockedDescription/GainOver200MovementSpeed	Text		Ganhou mais de 200% de velocidade de movimento
AchievementsUnlockedDescription/HarvestGoldenIngredient	Text		Colhiu uma planta dourada
AchievementsUnlockedDescription/KeyArtCharacter	Text		Vestido como um personagem das ilustrações oficiais
AchievementsUnlockedDescription/MaxedOutCooking	Text		Ganhou 100 pontos de habilidade em culinária
AchievementsUnlockedDescription/MaxedOutCrafting	Text		Ganhou 100 pontos de habilidade na elaboração
AchievementsUnlockedDescription/MaxedOutFishing	Text		Ganhou 100 pontos de habilidade na pesca
AchievementsUnlockedDescription/MaxedOutGardening	Text		Ganhou 100 pontos de habilidade em jardinagem
AchievementsUnlockedDescription/MaxedOutMelee	Text		Ganhou 100 pontos de habilidade em corpo a corpo
AchievementsUnlockedDescription/MaxedOutMining	Text		Ganhou 100 pontos de habilidade em mineração
AchievementsUnlockedDescription/MaxedOutRange	Text		Ganhou 100 pontos de habilidade no alcance
AchievementsUnlockedDescription/MaxedOutRunning	Text		Ganhou 100 pontos de habilidade em corrida
AchievementsUnlockedDescription/MaxedOutVitality	Text		Ganhou 100 pontos de habilidade em vitalidade
AchievementsUnlockedDescription/ObtainPhantomSpark	Text		Obteve Centelha Fantasma
AchievementsUnlockedDescription/ObtainRuneSong	Text		Canção Rúnica Obtida
AchievementsUnlockedDescription/ObtainSoulSeeker	Text		Obteve Soul Seeker
AchievementsUnlockedDescription/ObtainTheOracleDeck	Text		Obteve o baralho Oracle Card
AchievementsUnlockedDescription/PlantCherryTree	Text		Plantou 10 cerejeiras
AchievementsUnlockedDescription/SitOnCavelingToiletWithACrown	Text		Sentou-se em um banheiro Cavernoso enquanto usava uma coroa
AchievementsUnlockedDescription/TalkToBigLarva	Text		Conversei com uma Grande Larva
Advanced	Text		Avançado
AvailableInEarlyAccess	Text		Estará disponível no lançamento do Acesso Antecipado
BetaVersion	Text	{0} will be replaced by the version number	{0} Versão Beta
BiomeNames/Desert	Text		O deserto dos começos
BiomeNames/Larva	Text		As Cavernas de Barro
BiomeNames/Nature	Text		Deserto de Azeos
BiomeNames/Sea	Text		O Mar Submerso
BiomeNames/Slime	Text		Os subterrâneos
BiomeNames/Stone	Text		As Ruínas Esquecidas
BreastVanitySlot	Text		Slot de vaidade no baú
CardinalDirections/East	Text		leste
CardinalDirections/North	Text		norte
CardinalDirections/NorthEast	Text		nordeste
CardinalDirections/NorthWest	Text		noroeste
CardinalDirections/South	Text		sul
CardinalDirections/SouthEast	Text		sudeste
CardinalDirections/SouthWest	Text		sudoeste
CardinalDirections/Undefined	Text		Indefinido
CardinalDirections/West	Text		oeste
CombineMaterials	Text		Combine os materiais
ConditionEffect/ApplyBurning	Text		{0} dano de queimadura
ConditionEffect/ApplyDamageEverySecond	Text		{0} de dano a cada segundo
ConditionEffect/ApplyPoisoned	Text		Venenoso, reduz a cura recebida em 75%
ConditionEffect/ApplySlowedBySlime	Text		Reduz a velocidade de movimento dos alvos em {0}% por 4 segundos
ConditionEffect/Armor	Text		{0} armadura
ConditionEffect/ArmorPercentage	Text		{0}% de armadura
ConditionEffect/ChanceOnHitToKnockback	Text		{0}% de chance de empurrão
ConditionEffect/ChanceToGainExtraCookedFood	Text		{0}% de chance extra de comida cozida
ConditionEffect/CritChance	Text		{0}% de chance de acerto crítico
ConditionEffect/CriticalDamagePercentage	Text		{0}% de dano de acerto crítico
ConditionEffect/DamageEverySecond	Text		{0} de dano a cada segundo
ConditionEffect/DamageEveryThirdSecond	Text		{0} de dano a cada tres segundos
ConditionEffect/DodgeChance	Text		{0}% de chance de esquiva
ConditionEffect/ExplosivesDamage	Text		{0}% de dano de explosivos
ConditionEffect/Fishing	Text		{0} pesca
ConditionEffect/Glowing	Text		{0} brilho
ConditionEffect/HarvestChance	Text		{0}% de chance de colheita extra
ConditionEffect/HealOverTime	Text		{0} saúde a cada segundo
ConditionEffect/Health	Text		{0} saúde
ConditionEffect/Hunger	Text		{0} comida
ConditionEffect/ImmuneToSlimeSlow	Text		Imune a ser retardado por lodo
ConditionEffect/LifeOnHit	Text		{0} de vida ao acertar corpo a corpo
ConditionEffect/MaxHealth	Text		{0} saúde máxima
ConditionEffect/MeleeAttackSpeed	Text		{0}% de velocidade corpo a corpo
ConditionEffect/MeleeDamage	Text		{0}% de dano corpo a corpo
ConditionEffect/Mining	Text		{0} dano de mineração
ConditionEffect/MiningSpeed	Text		{0}% de velocidade de mineração
ConditionEffect/MovementSpeed	Text		{0}% de velocidade de movimento
ConditionEffect/Poisoned	Text		Cura recebida reduzida em 75%
ConditionEffect/RangeAttackSpeed	Text		{0}% de velocidade de alcance
ConditionEffect/RangeDamage	Text		{0}% de dano de alcance
ConditionEffect/ReducedDamageFromBosses	Text		{0}% de redução de dano do chefe
ConditionEffect/ThornsDamage	Text		{0} espinhos de dano
ConditionEffectDesc/ApplyBurning	Text		Aplica queima aos inimigos aos quais voce causa dano. O efeito de queimadura danifica o inimigo a cada segundo por {0} de dano.
ConditionEffectDesc/Armor	Text		Reduz o dano recebido até um máximo de {0} de dano. Os inimigos sempre causam um mínimo de 25% de seu dano.
ConditionEffectDesc/ChanceOnHitToKnockback	Text		Ataques corpo a corpo tem {0}% de chance de repelir os inimigos.
ConditionEffectDesc/ChanceToGainExtraCookedFood	Text		Pegar comida cozida da panela tem {0}% de chance de ganhar uma comida cozida adicional por comida cozida pega.
ConditionEffectDesc/CritChance	Text		Os ataques tem {0}% de chance de causar 50% de dano extra.
ConditionEffectDesc/CriticalDamagePercentage	Text		Causa {0}% mais dano em acertos críticos. O dano de acerto crítico básico é de 50%.
ConditionEffectDesc/DodgeChance	Text		{0}% de chance de desviar de qualquer ataque. A chance máxima de esquiva é de 90%.
ConditionEffectDesc/ExplosivesDamage	Text		Explosivos causam {0}% mais dano.
ConditionEffectDesc/Fishing	Text		Uma pesca mais alta permite a captura de peixes em áreas de nível superior, ao mesmo tempo em que facilita a captura de peixes.
ConditionEffectDesc/Glowing	Text		Produz um brilho que atinge até {0} quadrados de distância.
ConditionEffectDesc/HarvestChance	Text		A colheita tem {0}% de chance de produzir 1 planta extra.
ConditionEffectDesc/HealOverTime	Text		Ganha {0} de saúde a cada segundo.
ConditionEffectDesc/LifeOnHit	Text		Ganha {0} de saúde ao atingir um inimigo com um ataque corpo a corpo.
ConditionEffectDesc/MaxHealth	Text		A quantidade máxima de saúde é {0}.
ConditionEffectDesc/MeleeAttackSpeed	Text		Voce acerta {0}% mais rápido com armas brancas.
ConditionEffectDesc/MeleeDamage	Text		Ataques corpo a corpo causam {0}-{1} de dano.
ConditionEffectDesc/Mining	Text		Causa {0} de dano a paredes e objetos que requerem mineração para serem destruídos.
ConditionEffectDesc/MiningSpeed	Text		Voce acerta {0}% mais rápido com picaretas.
ConditionEffectDesc/MovementSpeed	Text		Move-se a {0}% da velocidade de movimento base.
ConditionEffectDesc/RangeAttackSpeed	Text		Voce atira {0}% mais rápido com armas de alcance.
ConditionEffectDesc/RangeDamage	Text		Ataques à distância causam {0}-{1} de dano.
ConditionEffectDesc/ReducedDamageFromBosses	Text		Reduz o dano recebido de chefes em {0}%.
ConditionEffectDesc/ThornsDamage	Text		Atacantes corpo a corpo recebem {0} de dano ao atacar.
Conditions/AcidDamage	Text		{0} de dano de ácido a cada segundo, ignora armadura
Conditions/AdditionalChanceOnCritToSpawnThunderBeam	Text		{0}% de chance adicional de ativar o poder da alma de Azeos
Conditions/AdditionalChanceOnHitToSpawnScarabBossProjectile	Text		{0}% de chance adicional de ativar o poder da alma de Ra-Akar
Conditions/AdditionalChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% de chance adicional de ativar o poder da alma de Omoroth
Conditions/AllDamageIncrease	Text		{0}% de dano
Conditions/ApplyBurning	Text		{0} de dano de queimadura aplicado ao acertar
Conditions/ApplySlipperyMovementWhenHit	Text		Atacantes corpo a corpo tornam-se escorregadios w
Conditions/ApplySlowedBySlime	Text		Reduz a velocidade de movimento dos alvos em {0}% por 4 segundos
Conditions/ArmorIncrease	Text	"Text shown on gear stat or buff, for example ""+45 armor"" where {0} is replaced with the number"	{0} armadura
Conditions/ArmorIncreaseFromMovementSpeed	Text		{0}% de armadura do aumento da velocidade de movimento atual
Conditions/ArmorPercentageIncrease	Text		{0}% de armadura
Conditions/AttackSpeed	Text		{0}% de velocidade de ataque corpo a corpo e alcance
Conditions/AuraApplyBurning	Text		Todos os inimigos próximos queimam por {0} de dano a cada dois segundos
Conditions/AuraApplyDamageDecrease	Text		{0}% de dano causado por todos os inimigos próximos
Conditions/AuraApplyDamageIncrease	Text		{0}% de dano causado por voce e todos os aliados próximos
Conditions/AuraApplyHealingOverTime	Text		{0} saúde a cada segundo para voce e todos os aliados próximos
Conditions/AuraApplyMovementSpeedDecrease	Text		A velocidade de movimento de qualquer inimigo próximo é reduzida em {0}%
Conditions/AuraApplyRadioactiveDamageOverTime	Text		Todos os inimigos próximos recebem {0} de dano radioativo a cada dois segundos
Conditions/AuraMovementSpeedDecrease	Text		{0}% de velocidade de movimento de uma aura próxima
Conditions/AuraRadioactiveDamageOverTime	Text		{0} de dano radioativo a cada dois segundos
Conditions/BlueGlow	Text	"Description for items that make player glow when eating it. For example ""+5 glow"" where +5 refers to the intensity/range of the light"	{0} brilho
Conditions/Burning	Text		{0} de dano de queimadura a cada dois segundos
Conditions/ChanceForAdditionalOre	Text		{0}% de chance de ganhar um minério adicional de paredes contendo minérios
Conditions/ChanceForExtraCookedFoodToBeRare	Text		{0}% de chance de alimentos adicionais obtidos ao cozinhar serem raros
Conditions/ChanceForOreOnMiningWall	Text		{0}% de chance de ganhar um minério comum na parede atualmente minerada ao destruí-la
Conditions/ChanceForPolishedJewelry	Text		{0}% de chance de obter uma versão polida de qualquer item criado na bancada de joalheria
Conditions/ChanceForRandomLootFromWall	Text		{0}% de chance de soltar um item valioso de qualquer parede minada
Conditions/ChanceOnCritToSpawnThunderBeam	Text		{0}% de chance de gerar um feixe de trovão em acertos críticos corpo a corpo
Conditions/ChanceOnHitToApplySlipperyMovement	Text		{0}% de chance ao acerto de aplicar movimento escorregadio
Conditions/ChanceOnHitToGainMeleeAttackSpeed	Text		{0}% de chance do acerto corpo a corpo aumentar a velocidade de ataque corpo a corpo em 50% por um curto período
Conditions/ChanceOnHitToIncreaseRangeDamage	Text		{0}% de chance de um golpe corpo a corpo aumentar o dano de alcance em 15%
Conditions/ChanceOnHitToKillTargetWithLowerHealth	Text		{0}% de chance de acertar para matar qualquer alvo que tenha menos saúde do que voce
Conditions/ChanceOnHitToKnockback	Text		{0}% de chance de empurrão
Conditions/ChanceOnHitToSpawnScarabBossProjectile	Text		{0}% de chance de um golpe corpo a corpo ou à distância gerar um orbe antigo que segue o alvo atingido e causa dano no impacto
Conditions/ChanceOnKillToSummonGhost	Text		{0}% de chance de invocar uma caverna fantasma ao matar qualquer inimigo
Conditions/ChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% de chance de um acerto à distância gerar um tornado
Conditions/ChanceOnRangeShotToApplySlowedBySlime	Text		20% de chance de desacelerar o alvo em {0}% em acertos à distância
Conditions/ChanceOnRangeShotToStun	Text		{0}% de chance de atordoar alvos em acertos à distância
Conditions/ChanceOnShotToGainCriticalHitChance	Text		{0}% de chance de um acerto à distância aumentar a chance de acerto crítico em 100% por um curto período
Conditions/ChanceOnShotToIncreaseMeleeDamage	Text		{0}% de chance de um acerto à distância aumentar o dano corpo a corpo em 15%
Conditions/ChanceToApplyCharmed	Text		Ativar o destino por 20 segundos
Conditions/ChanceToApplyPoisonOnBlock	Text		{0}% de chance de aplicar veneno ao bloquear ataques corpo a corpo, reduz a cura inimiga recebida em 75%
Conditions/ChanceToApplyPoisoned	Text		{0}% de chance de aplicar veneno ao acertar, reduz a cura inimiga recebida em 75%
Conditions/ChanceToGainExtraCookedFood	Text		{0}% de chance extra de comida cozida
Conditions/ChanceToGainExtraItemFromAlchemy	Text		{0}% de chance de ganhar um item extra ao fabricar qualquer item na mesa de alquimia ou destilaria
Conditions/ChanceToGainExtraItemFromBaseBuilding	Text		{0}% de chance de ganhar um item extra ao criar qualquer parede, piso, ponte ou cerca
Conditions/ChanceToGainRarePlant	Text		{0}% de chance de que as plantas plantadas por voce se tornem douradas
Conditions/ChanceToGetDoubleFish	Text		{0}% de chance de obter peixe em dobro ao pescar um peixe
Conditions/ChanceToNotConsumeWaterCan	Text		{0}% de chance de não consumir água ao usar lata de água
Conditions/ChanceToRestoreHealthOnMeleeHit	Text		10% de chance de um golpe corpo a corpo restaurar {0}% da saúde
Conditions/ChanceToShootShockWaveOnBlock	Text		{0}% de chance no bloqueio de liberar ondas de choque de energia causando dano igual ao que foi bloqueado
Conditions/CheatDeath	Text		{0}% de chance de restaurar um pouco de saúde em vez de morrer ao receber dano letal
Conditions/CritChance	Text		{0}% de chance de acerto crítico
Conditions/CritDamageIncreaseAgainstBurning	Text		{0}% de dano de acerto crítico contra alvos em chamas
Conditions/CriticalDamagePercentageIncrease	Text		{0}% de dano de acerto crítico
Conditions/DamageIncreaseAgainstBurning	Text		{0}% de dano contra alvos em chamas
Conditions/DamageIncreaseAgainstPoisoned	Text		{0}% de dano contra alvos envenenados
Conditions/DamageIncreaseFromRunning	Text		{0}% de dano ao correr
Conditions/DealAoeFireDamageOnBlock	Text		Causa {0} de dano a todos os inimigos próximos ao bloquear com o escudo
Conditions/DiggingIncrease	Text		{0} dano de escavação
Conditions/DodgeChance	Text		{0}% de chance de esquiva
Conditions/DodgeIncreaseFromStandingStill	Text		{0} % de chance de esquiva ao ficar parado
Conditions/DrainLessHunger	Text		{0}% menos comida drenada ao correr
Conditions/EquipmentDurabilityLastsLonger	Text		{0}% de chance de não perder a durabilidade do equipamento ao receber dano
Conditions/ExtraHarvestChance	Text		{0}% de chance de colheita extra
Conditions/FishBitesFaster	Text		Peixe morde {0}% mais rápido
Conditions/FishStartsCloserToBeReeledIn	Text		O peixe começa {0}% mais perto de ser enrolado
Conditions/GainArmorAtLowHealth	Text		{0}% de armadura enquanto estiver com pouca saúde
Conditions/GainAttackSpeedBoostAfterDodge	Text		{0}% de velocidade de ataque corpo a corpo e alcance por um curto período após a esquiva
Conditions/GainAttackSpeedFromMissingHealth	Text		A velocidade de ataque é aumentada em 0,2% para cada porcentagem de perda de saúde
Conditions/GainCriticalHitChanceFromStandingStill	Text		{0}% de chance de acerto crítico após ficar parado por um curto período
Conditions/GainDamageIncreaseAfterMining	Text		{0}% de dano por um curto período após minerar uma parede
Conditions/GainDamageIncreaseAtLowHealth	Text		{0}% de dano enquanto estiver com pouca saúde
Conditions/GainDamageIncreaseAtMaxHealth	Text		{0}% de dano enquanto estiver com a saúde máxima
Conditions/GainDamageIncreaseFromRunning	Text		{0}% de dano após correr consistentemente por um curto período
Conditions/GainDodgeIncreaseWhileStandingStill	Text		{0}% de chance de esquiva depois de ficar parado por um curto período
Conditions/GainExtraIndustryItems	Text		{0} itens extras obtidos ao criar trilhos, fios ou Esteiras rolantes.
Conditions/GainHealthRegenWhileBelowHalfHealth	Text		Ganhe {0} saúde a cada segundo enquanto estiver abaixo da metade da saúde máxima
Conditions/GainIncreasedBossDamageFromEatingFish	Text		{0}% de dano contra chefes depois de comer peixe ou comida cozida feita de peixe
Conditions/GainIncreasedMaxHealthFromAllSkillPoints	Text		{0}% de todos os pontos de habilidade adicionados à saúde máxima
Conditions/GainMeleeAttackSpeedFromCookedFood	Text		{0}% de velocidade de ataque corpo a corpo ao comer comida cozida
Conditions/GainMeleeDamageFromHitting	Text		Ganhe 2% de dano corpo a corpo toda vez que um inimigo for atingido, acumula até {0} vezes
Conditions/GainMeleeDamageIncreaseFromHittingSameTarget	Text		Ganhe {0}% de dano corpo a corpo ao atingir o mesmo alvo sucessivamente
Conditions/GainMoreFoodFromCookedFood	Text		{0}% de comida de comida cozida
Conditions/GainMoreFoodFromPlants	Text		{0}% de alimentos ao comer plantas ou alimentos cozidos feitos de plantas
Conditions/GainMovementSpeedFromRunningConsistently	Text		{0}% de velocidade de movimento após correr consistentemente por um curto período
Conditions/GainRangeDamageFromShooting	Text		Ganhe 2% de dano de alcance toda vez que um inimigo for atingido, acumula até {0} vezes
Conditions/GainRangeDamageIncreaseFromStandingStill	Text		{0}% de dano de alcance após ficar parado por um curto período
Conditions/HealOverTime	Text	"For example ""+5 health every second"""	{0} saúde a cada segundo
Conditions/HealOverTimePercentage	Text		"Por exemplo""+5% de saúde a cada segundo"""
Conditions/HealingPotionAddHealOverTime	Text		As poções de cura também curam {0}% da saúde adquirida com a poção ao longo do tempo
Conditions/HealthAddition	Text	{0} will be replaced by +10 for example so it says +10 health which can appear on an item description	{0} saúde
Conditions/HealthAdditionPercentage	Text		{0}% de saúde
Conditions/HealthReduction	Text		{0} saúde
Conditions/HungerAddition	Text		{0} comida
Conditions/ImmuneToAcid	Text		Imune a dano ácido
Conditions/ImmuneToBurning	Text		imune a queimaduras
Conditions/ImmuneToDamageAfterRespawn	Text		Imune a dano
Conditions/ImmuneToMold	Text		Imune a infecção por mofo
Conditions/ImmuneToPoison	Text		imune a veneno
Conditions/ImmuneToSlimeSlow	Text		Imune a ser retardado por lodo
Conditions/ImmuneToSlipperyMovement	Text		Imune a movimentos escorregadios
Conditions/ImmuneToStun	Text		Imune a atordoamento
Conditions/IncreaseCritChanceAfterPoisonApply	Text		{0}% de chance de acerto crítico por um curto período após aplicar veneno com sucesso
Conditions/IncreasedArmorPercentageWhileAdjacentToWater	Text		{0}% de armadura enquanto adjacente à água
Conditions/IncreasedBoatSpeed	Text		{0}% da velocidade do barco
Conditions/IncreasedChanceForHigherRarityFish	Text		{0}% de chance de peixes de maior raridade morderem
Conditions/IncreasedChanceToGetFish	Text		{0}% de chance de pegar um peixe no anzol
Conditions/IncreasedChanceToGetFishLoot	Text		{0}% de chance de obter um item valioso ou outro que não seja peixe no anzol ao pescar
Conditions/IncreasedCharmDuration	Text		{0}% mais longa duração dos efeitos de charme aplicados
Conditions/IncreasedDamageAgainstBosses	Text		{0}% de dano contra chefes
Conditions/IncreasedDashDuration	Text		Duração do dash {0}% maior
Conditions/IncreasedExplosivesDamage	Text		{0}% de dano de explosivos
Conditions/IncreasedFishing	Text		{0} pesca
Conditions/IncreasedHealthRegenEffectiveness	Text		{0}% mais cura de regeneração de vida ao longo do tempo
Conditions/IncreasedMaxHealth	Text		{0} saúde máxima
Conditions/IncreasedMaxHealthPermanent	Text		{0} saúde máxima
Conditions/IncreasedPickUpRadius	Text		{0}% raio de coleta
Conditions/IncreasedRodRange	Text		{0}% de alcance de arremesso da vara de pescar
Conditions/InfectedWithMold	Text		{0}% de velocidade de movimento, diminui cada vez mais o movimento devido à infecção por mofo
Conditions/KillsIncreaseCritChance	Text		Matar um inimigo aumenta a chance de acerto crítico em 3%, acumula até 5 vezes
Conditions/KingOfSlimes	Text		Voce é o rei dos slimes
Conditions/LarvaDisguise	Text		Disfarçado de larva
Conditions/LifeOnHit	Text		{0} de vida ao acertar corpo a corpo
Conditions/LongerCookedFoodBuffs	Text		{0}% de duração de buff de comida cozida mais longa
Conditions/LookLikeGhost	Text		Voce parece um fantasma
Conditions/Love	Text		Dá-lhe uma sensação de aquecimento do coração
Conditions/MeleeAttackSpeedIncrease	Text		{0}% de velocidade de ataque corpo a corpo
Conditions/MeleeDamageIncrease	Text	{0} will be replaced by +10 for example so it says +10 damage which can appear on an item description	{0}% de dano corpo a corpo
Conditions/MiningIncrease	Text		{0} dano de mineração
Conditions/MiningPercentageIncrease	Text		{0}% de dano de mineração
Conditions/MiningSpeedIncrease	Text		{0}% de velocidade de mineração
Conditions/MovementSpeedBoostAfterDodge	Text		{0}% de aumento de velocidade de movimento por um curto período após desviar de um ataque
Conditions/MovementSpeedBoostAfterMining	Text		{0}% de aumento de velocidade de movimento por um curto período após minerar uma parede
Conditions/MovementSpeedDecrease	Text		{0}% de velocidade de movimento
Conditions/MovementSpeedIncrease	Text		{0}% de velocidade de movimento
Conditions/MovementSpeedIncreaseFromRunningConsistently	Text		{0} velocidade de movimento de corrida consistente
Conditions/OrangeGlow	Text		{0} brilho
Conditions/PercentageOfFishingAsRange	Text		{0}% da pesca adicionada como dano de alcance
Conditions/PercentageOfMiningAsMelee	Text		{0}% do dano de mineração adicionado como dano corpo a corpo
Conditions/PinkGlow	Text		{0} brilho rosa
Conditions/Poisoned	Text		Cura recebida reduzida em 75%
Conditions/RangeAttackSpeedIncrease	Text		{0}% de velocidade de ataque de alcance
Conditions/RangeDamageIncrease	Text		{0}% de dano de alcance
Conditions/RedGlowingEyes	Text		Seus olhos brilham vermelhos
Conditions/ReducedAnvilEquipmentCosts	Text		Criar itens na bigorna e consertar itens custa {0}% menos materiais
Conditions/ReducedDamageFromBosses	Text		{0}% de redução do dano recebido de chefes
Conditions/ReducedImpactOfSlipperyMovement	Text		{0}% de redução do impacto do movimento escorregadio
Conditions/RemovePoison	Text		Remove qualquer veneno do bebedor
Conditions/SeedDropChance	Text		{0}% de chance de ganhar uma semente ao colher plantas
Conditions/ShortMovementSpeedBoost	Text		{0}% de velocidade de movimento por um curto período
Conditions/Sleeping	Text		Adormecer
Conditions/SlipperyMovement	Text		Seu movimento é escorregadio
Conditions/SlipperyMovementFromGround	Text		O chão é escorregadio
Conditions/SlowedBySlime	Text		{0}% de velocidade de movimento do lodo
Conditions/SnareAndStunDurationReduction	Text		Durações de armadilhas e atordoamentos reduzidas em {0}%
Conditions/Snared	Text	"Can also be translated from ""immobilized"" or other similar word meaning that character can't move"	preso
Conditions/Snowing	Text		Você pode sentir o inverno abraçando você
